loss,dp,minDist,param1,param1,minRadius,maxRadius
0.21519105023397067,2.0,8,20.0,0.8,10,35
0.00043385292385881186,1.479039490222931,13,81.39343750476837,0.7790394925718505,11,30
0.1048684495955871,2.216432571411133,10,93.61032462865114,0.5164325752576209,8,22
0.0022312436084167466,2.2227723598480225,13,69.04823312535882,0.35434106975264096,11,38
0.01004059623787536,2.174076061695814,17,58.99953682720661,0.30564476955282255,16,28
0.6249341473240572,2.6822533905506134,11,35.50771415233612,0.3138220980849366,7,24
0.7595525116985342,2.8800137788057327,12,111.70547454059124,0.9413024464359256,8,20
0.7517431590690756,2.754280027002096,12,111.70547454059124,0.9413024464359256,8,20
0.7517431590690756,2.754280027002096,8,111.70547454059124,0.9413024464359256,8,20
0.6949084260435713,2.754280027002096,8,78.54744366556406,0.9413024464359256,8,20
0.5451361988285971,2.754280027002096,8,78.54744366556406,0.6975165294017345,8,20
0.47602962595680065,2.754280027002096,8,78.54744366556406,0.6975165294017345,11,20
0.0015184852335058416,2.754280027002096,8,78.54744366556406,0.6975165294017345,11,34
0.00043385292385881186,1.479039490222931,13,81.39343750476837,0.7790394925718505,11,30
0.00043385292385881186,1.4790395002229308,13,81.39343750476837,0.7790394925718505,11,30
0.00043385292385881186,1.479039490222931,13,81.39343750476837,0.7790394925718505,11,30
0.00043385292385881186,1.479039490222931,13,81.39343751476837,0.7790394925718505,11,30
0.00043385292385881186,1.479039490222931,13,81.39343750476837,0.7790395025718505,11,30
0.00043385292385881186,1.479039490222931,13,81.39343750476837,0.7790394925718505,11,30
0.00043385292385881186,1.479039490222931,13,81.39343750476837,0.7790394925718505,11,30
0.027487681675911865,1.6620213240385056,10,140.66295287013054,0.9052578208437851,13,31
0.132449099755183,1.504728078842163,7,182.5056596249342,0.3479645752611599,7,29
0.3095230716787009,2.3609477132558823,16,161.36187925934792,0.9041842119828023,13,21
0.006166909417707397,1.8605495914816856,19,104.86148113757372,0.4427442654411257,16,29
0.013232514177693762,2.172158367931843,12,127.97228840738535,0.6543530437363758,5,32
1.0,1.9283802434802055,18,172.0381193011999,0.9751062878261554,19,36
1.0,1.820573566481471,18,172.0381193011999,0.9751062878261554,19,36
1.0,1.820573566481471,7,172.0381193011999,0.9751062878261554,19,36
1.0,1.820573566481471,7,108.95580713934032,0.9751062878261554,19,36
1.0,1.820573566481471,7,108.95580713934032,0.9762923727978066,19,36
0.7952524094332022,1.820573566481471,7,108.95580713934032,0.9762923727978066,6,36
0.7955313148842542,1.820573566481471,7,108.95580713934032,0.9762923727978066,6,31
0.1156527937029347,1.3804354816675186,17,130.5156690478325,0.5361542926707463,17,33
0.2872416250890948,2.5379734002053738,7,89.95919369906187,0.5936922114217222,6,32
0.003966655303851994,1.5029779598116875,18,124.20912266895175,0.6398083786272188,11,39
0.40639623167746136,1.6306983828544617,14,65.85979392216541,0.6440678570960792,6,37
0.136415755059035,1.9343156279064715,10,52.88144628703594,0.6476851023888917,17,23
0.06498497009513775,1.0082616358995438,9,20.97813980281353,0.9443786205641869,16,31
0.05918993461216648,1.9845748469233513,9,20.97813980281353,0.9443786205641869,16,31
0.05918993461216648,1.9845748469233513,8,20.97813980281353,0.9443786205641869,16,31
0.05550218475936657,1.9845748469233513,8,62.239439114928246,0.9443786205641869,16,31
0.006290867395952772,1.9845748469233513,8,62.239439114928246,0.42150045507295747,16,31
0.15779850630636214,1.9845748469233513,8,62.239439114928246,0.42150045507295747,8,31
0.15733366388794198,1.9845748469233513,8,62.239439114928246,0.42150045507295747,8,33
0.927236666769965,1.16278737783432,17,59.83054561447352,0.606995546768472,19,24
